,CV MAE,Test MAE,Test RMSE,Test R²,Test Median AE
Ridge,3.462621946488693,3.0981162451712807,4.011540662847068,0.5151102231853081,2.5418576358432823
Lasso,3.4627718690429115,3.098813564011931,4.013017508680052,0.5147531338155298,2.5236942046836184
RandomForest,3.5225227823589798,3.191328828098396,4.103266482103965,0.49268222911972404,2.6280766217985914
XGBoost,3.497737264633179,3.3060872554779053,4.169735249043893,0.47611308097839355,2.829732894897461
Baseline,3.3623503808487487,3.3623503808487487,4.855697885850263,0.28956565978740734,2.0
